Rank 	Character 	Appearances 	Percent
#1 	␣ 	104166 	14.66
#2 	e 	84229 	11.85
#3 	s 	45715 	6.43
#4 	n 	40002 	5.63
#5 	t 	39280 	5.53
#6 	r 	37797 	5.32
#7 	i 	37515 	5.28
#8 	a 	35272 	4.96
#9 	o 	33197 	4.67
#10 	u 	28175 	3.96
#11 	l 	26579 	3.74
#12 	d 	18414 	2.59
#13 	c 	17892 	2.52
#14 	p 	17293 	2.43
#15 	m 	15937 	2.24
#16 	⮐ 	13660 	1.92
#17 	é 	11676 	1.64
#18 	v 	11379 	1.60
#19 	f 	6462 	0.91
#20 	’ 	6285 	0.88
#21 	. 	6161 	0.87
#22 	, 	6037 	0.85
#23 	q 	5953 	0.84
#24 	g 	4510 	0.63
#25 	h 	4238 	0.60
#26 	b 	3700 	0.52
#27 	z 	2846 	0.40
#28 	x 	2782 	0.39
#29 	E 	2502 	0.35
#30 	I 	2409 	0.34
#31 	à 	2389 	0.34
#32 	C 	2353 	0.33
#33 	L 	2035 	0.29
#34 	y 	1819 	0.26
#35 	S 	1684 	0.24
#36 	ê 	1651 	0.23
#37 	è 	1522 	0.21
#38 	N 	1503 	0.21
#39 	j 	1341 	0.19
#40 	- 	1311 	0.18
#41 	T 	1174 	0.17
#42 	: 	1060 	0.15
#43 	A 	924 	0.13
#44 	O 	919 	0.13
#45 	P 	898 	0.13
#46 	V 	851 	0.12
#47 	) 	720 	0.10
#48 	… 	710 	0.10
#49 	? 	667 	0.09
#50 	1 	656 	0.09
#51 	— 	650 	0.09
#52 	^ 	645 	0.09
#53 	U 	615 	0.09
#54 	D 	586 	0.08
#55 	0 	549 	0.08
#56 	( 	517 	0.07
#57 	2 	427 	0.06
#58 	M 	425 	0.06
#59 	R 	401 	0.06
#60 	❖ 	391 	0.06
#61 	« 	390 	0.05
#62 	» 	389 	0.05
#63 	É 	373 	0.05
#64 	3 	335 	0.05
#65 	Q 	315 	0.04
#66 	5 	307 	0.04
#67 	4 	287 	0.04
#68 	B 	283 	0.04
#69 	F 	282 	0.04
#70 	J 	240 	0.03
#71 	k 	224 	0.03
#72 	” 	224 	0.03
#73 	“ 	221 	0.03
#74 	9 	195 	0.03
#75 	― 	182 	0.03
#76 	/ 	180 	0.03
#77 	7 	179 	0.03
#78 	6 	176 	0.02
#79 	ç 	172 	0.02
#80 	● 	172 	0.02
#81 	8 	164 	0.02
#82 	H 	159 	0.02
#83 	ù 	136 	0.02
#84 	➢ 	134 	0.02
#85 	X 	130 	0.02
#86 	! 	129 	0.02
#87 	w 	126 	0.02
#88 	G 	104 	0.01
#89 	% 	87 	0.01
#90 	Y 	83 	0.01
#91 	| 	70 	0.01
#92 	À 	68 	0.01
#93 	▶ 	58 	0.01
#94 	W 	53 	0.01
#95 	  	46 	0.01
#96 	; 	40 	0.01
#97 	→ 	38 	0.01
#98 	[ 	37 	0.01
#99 	] 	37 	0.01
#100 	K 	34 	0.00
#101 	ï 	32 	0.00
#102 	★ 	29 	0.00
#103 	= 	28 	0.00
#104 	œ 	27 	0.00
#105 	⚠ 	27 	0.00
#106 	* 	20 	0.00
#107 	▲ 	19 	0.00
#108 	° 	17 	0.00
#109 	Ê 	15 	0.00
#110 	Z 	11 	0.00
#111 	❏ 	11 	0.00
#112 	– 	9 	0.00
#113 	€ 	9 	0.00
#114 	ë 	8 	0.00
#115 	+ 	5 	0.00
#116 	@ 	5 	0.00
#117 	× 	5 	0.00
#118 	β 	5 	0.00
#119 	• 	4 	0.00
#120 	− 	4 	0.00
#121 	$ 	3 	0.00
#122 	~ 	3 	0.00
#123 	® 	3 	0.00
#124 	Â 	3 	0.00
#125 	ö 	3 	0.00
#126 	α 	3 	0.00
#127 	⁂ 	3 	0.00
#128 	& 	2 	0.00
#129 	Ç 	2 	0.00
#130 	⇒ 	2 	0.00
#131 	# 	1 	0.00
#132 	_ 	1 	0.00
#133 	© 	1 	0.00
#134 	± 	1 	0.00
#135 	È 	1 	0.00
#136 	ü 	1 	0.00
#137 	Œ 	1 	0.00
#138 	ε 	1 	0.00
#139 	з 	1 	0.00
#140 	‘ 	1 	0.00
#141 	➤ 	1 	0.00
#142 	 	1 	0.00
#143 	＝ 	1 	0.00
